Gender,Gender(third person),Race,Color,Hair Color,Hair Length,Hair Style,Hair Style Fixed Length,Top,Bottom,Shoes,Accessory,Accessory Action,Extra sentences F,Extra sentences B
boy,He,African American,,caramel,buzz cut,updos,Bob,,,,,,The location is near the Royal Adelaide Hospital.,The person appears drug-affected.
girl,She,American Indian,,burgundy,ear length,messy,Pixie,,,,,,There is a car crash.,The situation is very dangerous.
kid,The kid,Other Pacific Islander,,highlights,chin length,vintage,Shag,,,,,,A large fight happens outside McDonald's Hindley Street.,"The address is at 49 Robbies Rd, Cockle Bay."
child,The child,cauc,,balayage,shoulder length,braided,Bangs,,,,,,There is an emergency.,The person has been stabbed in the stomach. 
,,,,ombre,armpit length,ponytails,Layered,,,,,,"The address is at 23 Allan Street, Blacktown.",The person has mental illness.
,,,,,mid-back length,,Mohawk,,,,,,"Someone is yelling 'I'm going to stab you', follows by crashing/banging.",Evacute the area now.
,,,,,tailbone length,,,,,,,,"Warning, emergency, evacuate now.",The House's choice to use the Justice Department may be more of a warning shot than a solution.
,,,,,,,,,,,,,As severe as a criminal contempt referral sounds,The officers responded by firing several bullets into the apartment.
,,,,,,,,,,,,,The walker fired a warning shot as the officers breached the front door with a battering ram.,"After the site was blocked, the false alarms regarding police seemed like a warning shot leave or face arrest and charges of high treason."
,,,,,,,,,,,,,At least two different calls had warned of a coming police raid at TV Rain.,"The criminal must be taken in the act, e.g."
,,,,,,,,,,,,,The full video shows at least one soldier firing a warning shot into the air.,"The senate, as supreme court of cassation, has two departments, one for civil and one for criminal cases."
,,,,,,,,,,,,,"Arthur, chief of the Brotherhood, a party, and called Rule 1 2, forbidding engineers to haul the freight, criminal.","The subject matter over which the ecclesiastical courts had jurisdiction was no longer purely "" criminal "" with a civil quasijurisdiction by way of arbitration."
,,,,,,,,,,,,,Justice is administered from a written civil and criminal code.,It was probably the lex Valeria of 300 B.C. that made him subject to the right of criminal appeal (provocatio) within the limits of the city.
,,,,,,,,,,,,,The penalty for false witness was usually that which would have been awarded the convicted criminal.,NA
,,,,,,,,,,,,,NA,The truth is that you pay for your lifestyle in hours.
,,,,,,,,,,,,,The guy kept telling himself that one day it would all somehow make sense.,This is the last random sentence I will be writing and I am going to stop mid-sent
