Sentence,Labels
"This black male with short blond hair, had blue tanktop, black shorts and yellow sandals, who is wearing yellow earrings.","{'race': 'black', 'gender': 'male', 'hair_style': 'NA', 'hair_color': 'blond', 'hair_len': 'short', 'top': 'tanktop', 'top_color': 'blue', 'bottom': 'shorts', 'bottom_color': 'black', 'footwear': 'sandals', 'footwear_color': 'yellow', 'accessory': 'earrings', 'accessory_color': 'yellow'}"
"A black person has a yellow jumper, orange jeans and white sandals, has long blond kinky hair. The person also is wearing a bracelet.","{'race': 'black', 'gender': 'NA', 'hair_style': 'kinky', 'hair_color': 'blond', 'hair_len': 'long', 'top': 'jumper', 'top_color': 'yellow', 'bottom': 'jeans', 'bottom_color': 'orange', 'footwear': 'sandals', 'footwear_color': 'white', 'accessory': 'bracelet', 'accessory_color': 'NA'}"
"The black woman had tanktop, green trousers and white sneakers, has long white straight hair. The person also is wearing a yellow hat.","{'race': 'black', 'gender': 'female', 'hair_style': 'straight', 'hair_color': 'white', 'hair_len': 'long', 'top': 'tanktop', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'green', 'footwear': 'sneakers', 'footwear_color': 'white', 'accessory': 'hat', 'accessory_color': 'yellow'}"
"The male, straight hair, orange trousers and slippers with the color white, is wearing a orange bracelet.","{'race': 'NA', 'gender': 'male', 'hair_style': 'straight', 'hair_color': 'NA', 'hair_len': 'NA', 'top': 'NA', 'top_color': 'NA', 'bottom': 'trousers', 'bottom_color': 'orange', 'footwear': 'slippers', 'footwear_color': 'white', 'accessory': 'bracelet', 'accessory_color': 'orange'}"
"A female with short straight hair, has a suit with the color green, who is wearing a pair of sunglasses with the color yellow.","{'race': 'NA', 'gender': 'female', 'hair_style': 'straight', 'hair_color': 'NA', 'hair_len': 'short', 'top': 'suit', 'top_color': 'green', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'NA', 'footwear_color': 'NA', 'accessory': 'sunglasses', 'accessory_color': 'yellow'}"
"This female with blond hair, in yellow blouse, black pants and black sneakers, who has a yellow ring.","{'race': 'NA', 'gender': 'female', 'hair_style': 'NA', 'hair_color': 'blond', 'hair_len': 'NA', 'top': 'blouse', 'top_color': 'yellow', 'bottom': 'pants', 'bottom_color': 'black', 'footwear': 'sneakers', 'footwear_color': 'black', 'accessory': 'ring', 'accessory_color': 'yellow'}"
"The caucasian person has a green tanktop, white jeans and green sneakers, has middle black kinky hair. The person also is wearing a pair of black sunglasses.","{'race': 'caucasian', 'gender': 'NA', 'hair_style': 'kinky', 'hair_color': 'black', 'hair_len': 'middle', 'top': 'tanktop', 'top_color': 'green', 'bottom': 'jeans', 'bottom_color': 'white', 'footwear': 'sneakers', 'footwear_color': 'green', 'accessory': 'sunglasses', 'accessory_color': 'black'}"
"This female, short black hair, jumper and green sandals, has a violet ring.","{'race': 'NA', 'gender': 'female', 'hair_style': 'NA', 'hair_color': 'black', 'hair_len': 'short', 'top': 'jumper', 'top_color': 'NA', 'bottom': 'NA', 'bottom_color': 'NA', 'footwear': 'sandals', 'footwear_color': 'green', 'accessory': 'ring', 'accessory_color': 'violet'}"
"The asian female had a black shirt, trousers with the color white and boots with the color violet, has long kinky hair. The person also carries a black handbag.","{'race': 'asian', 'gender': 'female', 'hair_style': 'kinky', 'hair_color': 'NA', 'hair_len': 'long', 'top': 'shirt', 'top_color': 'black', 'bottom': 'trousers', 'bottom_color': 'white', 'footwear': 'boots', 'footwear_color': 'violet', 'accessory': 'handbag', 'accessory_color': 'black'}"
"A black male has white kinky hair. He wears green jumper, yellow trousers and blue shoes. He has black belt.","{'race': 'black', 'gender': 'male', 'hair_style': 'kinky', 'hair_color': 'white', 'hair_len': 'NA', 'top': 'jumper', 'top_color': 'green', 'bottom': 'trousers', 'bottom_color': 'yellow', 'footwear': 'shoes', 'footwear_color': 'blue', 'accessory': 'belt', 'accessory_color': 'black'}"
"A black person with short wavy hair, wears skirt with the color black and green sandals, who is wearing earrings.","{'race': 'black', 'gender': 'NA', 'hair_style': 'wavy', 'hair_color': 'NA', 'hair_len': 'short', 'top': 'NA', 'top_color': 'NA', 'bottom': 'skirt', 'bottom_color': 'black', 'footwear': 'sandals', 'footwear_color': 'green', 'accessory': 'earrings', 'accessory_color': 'NA'}"
